state/ut,age-group-males,ratio-males,age-group-females,ratio-females
00,Age 20-24,0.12273424814472832,Age 20-24,0.10710940654774302
01,Age 20-24,0.3175132294417623,Age 20-24,0.2722886594238654
02,Age 20-24,0.0834641047819103,Age 15-19,0.08073235615608497
03,Age 15-19,0.4461755977021743,Age 15-19,0.4720686042438375
04,Age 70+,0.5388799509691259,Age 15-19,0.4241747727635146
05,Age 20-24,0.03427263760436141,Age 20-24,0.027629806325625086
06,Age 20-24,0.07358542656281072,Age 15-19,0.07395099517414917
07,Age 70+,0.2035843696989772,Age 50-69,0.12009708864786191
08,Age 20-24,0.032170406187092576,Age 15-19,0.025575742601871475
09,Age 20-24,0.02591275197398114,Age 20-24,0.022732202942728538
10,Age 20-24,0.03144337425797128,Age 15-19,0.028678797373768387
11,Age 15-19,0.4370257073945526,Age 15-19,0.4796138316281611
12,Age 15-19,0.4805333468915638,Age 15-19,0.47116889837635034
13,Age 25-29,0.42194022187995267,Age 20-24,0.39025190369206914
14,Age 30-49,0.3522244292672308,Age 20-24,0.29108618446499523
15,Age 30-49,0.10100900431396392,Age 25-29,0.05630347751000864
16,Age 25-29,0.10084028813142998,Age 20-24,0.0655075555180097
17,Age 30-49,0.18367519388093614,Age 20-24,0.1282768454535483
18,Age 30-49,0.23954201866422514,Age 15-19,0.18595240487355846
19,Age 50-69,0.0604617958790532,Age 20-24,0.03784632303217111
20,Age 20-24,0.08343959146571944,Age 15-19,0.06933797465211916
21,Age 20-24,0.2491406721437738,Age 15-19,0.21012856977519492
22,Age 30-49,0.026552583613325426,Age 20-24,0.02093604398893421
23,Age 20-24,0.031202660147976076,Age 15-19,0.028724294483801247
24,Age 15-19,0.2581260667935959,Age 15-19,0.21874174985751843
25,Age 50-69,0.2234303379170664,Age 15-19,0.2591950464396285
26,Age 10-14,0.3297253195539842,Age 15-19,0.3581714285714286
27,Age 20-24,0.2853477280340469,Age 15-19,0.2626312649904909
28,Age 20-24,0.1437839167965457,Age 15-19,0.12730228047128372
29,Age 25-29,0.19388702768147584,Age 20-24,0.16612186592329115
30,Age 15-19,0.662455264253017,Age 15-19,0.7014684014869889
31,Age 25-29,0.2669856459330144,Age 20-24,0.257070340826686
32,Age 20-24,0.16739270695227845,Age 20-24,0.17142202938880732
33,Age 25-29,0.04812666068239258,Age 20-24,0.04372533383854217
34,Age 50-69,0.09790638297872341,Age 20-24,0.0773308767294723
35,Age 15-19,0.27713425228773314,Age 15-19,0.2987944162436548
