state/ut,age-group-males,ratio-males,age-group-females,ratio-females
00,Age 5-9,0.8768207300383077,Age 5-9,0.8765852252915584
01,Age 5-9,0.685737355018224,Age 70+,0.7817361715597057
02,Age 5-9,0.8871304867124514,Age 70+,0.922297989229305
03,Age 5-9,0.8011641860300749,Age 70+,0.8482608959031903
04,Age 5-9,0.7139376713024058,Age 5-9,0.7254345597176852
05,Age 5-9,0.9036843580355565,Age 5-9,0.9035662285258171
06,Age 5-9,0.9061053705829826,Age 5-9,0.9079154731607586
07,Age 5-9,0.8445882816728894,Age 5-9,0.8445062527866833
08,Age 5-9,0.9399054632528371,Age 70+,0.941446580368792
09,Age 5-9,0.9540134506828546,Age 5-9,0.9531543546201945
10,Age 5-9,0.8798163347788371,Age 5-9,0.8801317915479153
11,Age 5-9,0.6258365867261573,Age 5-9,0.6192926045016077
12,Age 5-9,0.5356809190417421,Age 70+,0.6254701773240193
13,Age 5-9,0.6729798503070943,Age 70+,0.6934770450963444
14,Age 5-9,0.8140298866231321,Age 5-9,0.8134891183725976
15,Age 5-9,0.8952878706919584,Age 5-9,0.89860103626943
16,Age 5-9,0.8035017763893799,Age 70+,0.8064945105922375
17,Age 5-9,0.9102512842574082,Age 5-9,0.9064860096974379
18,Age 5-9,0.7374605972499177,Age 5-9,0.735775115319797
19,Age 5-9,0.9285753076471217,Age 5-9,0.9298452560452052
20,Age 5-9,0.7961710749292098,Age 5-9,0.7966851534189273
21,Age 5-9,0.8388573752277207,Age 70+,0.8742920653583107
22,Age 5-9,0.8991481248562225,Age 5-9,0.9038849793936423
23,Age 5-9,0.9225506317967428,Age 5-9,0.9195690819917902
24,Age 5-9,0.8674152803814994,Age 5-9,0.8711657596509973
25,Age 5-9,0.7687220187220187,Age 5-9,0.7761004839824844
26,Age 5-9,0.5514979799569757,Age 70+,0.5644970414201184
27,Age 5-9,0.768406912316825,Age 5-9,0.7696152291115281
28,Age 5-9,0.8644640806638021,Age 70+,0.8693059187349854
29,Age 5-9,0.750905375889523,Age 5-9,0.750633340655342
30,Age 5-9,0.4792398302604624,Age 5-9,0.4752417342482845
31,Age 5-9,0.9692028985507246,Age 5-9,0.9743105402342275
32,Age 5-9,0.9518834552137447,Age 5-9,0.9507325536255453
33,Age 5-9,0.8578160855443477,Age 5-9,0.8561157527402238
34,Age 5-9,0.8872970771156635,Age 5-9,0.8876214093821038
35,Age 5-9,0.5416451779267664,Age 70+,0.5850129198966408
